1,Prac01,3
1,Prac02,3
1,Prac03,1
1,Prac04,2
1,Prac05,1
1,Prac06,1
1,Inst01,2
1,Inst02,2
1,Inst03,3
1,Inst04,2
1,Inst05,3
1,Inst06,1
1,Inst07,1
1,Inst08,1
1,Post01,1
1,Post02,3
1,Post03,1
1,Post04,2
1,Post05,2
1,Post06,1
1,Post07,2
1,Post08,3
1,Post09,3
1,Post10,3
1,Post11,2
1,Post12,1
1,Post13,1
1,Post14,3
1,Post15,3
1,Post16,2
1,Post17,3
1,Post18,1
1,Post19,1
1,Post20,3
1,Post21,3
1,Post22,2
1,Post23,2
1,Post24,1
1,Post25,1
1,Post26,1
1,Post27,3
1,Post28,1
1,Post29,1
1,Post30,3
1,Post31,3
1,Post32,1
1,Post33,3
1,Post34,1
1,Post35,2
2,Prac01,3
2,Prac02,1
2,Prac03,1
2,Prac04,2
2,Prac05,1
2,Prac06,1
2,Inst01,2
2,Inst02,2
2,Inst03,2
2,Inst04,1
2,Inst05,3
2,Inst06,1
2,Inst07,1
2,Inst08,2
2,Post01,1
2,Post02,3
2,Post03,1
2,Post04,2
2,Post05,3
2,Post06,1
2,Post07,3
2,Post08,3
2,Post09,3
2,Post10,3
2,Post11,2
2,Post12,2
2,Post13,3
2,Post14,3
2,Post15,3
2,Post16,2
2,Post17,3
2,Post18,1
2,Post19,1
2,Post20,3
2,Post21,3
2,Post22,2
2,Post23,1
2,Post24,1
2,Post25,2
2,Post26,3
2,Post27,1
2,Post28,1
2,Post29,2
2,Post30,2
2,Post31,2
2,Post32,1
2,Post33,3
2,Post34,1
2,Post35,2
3,Prac01,1
3,Prac02,1
3,Prac03,1
3,Prac04,2
3,Prac05,1
3,Prac06,2
3,Inst01,2
3,Inst02,3
3,Inst03,3
3,Inst04,2
3,Inst05,1
3,Inst06,1
3,Inst07,2
3,Inst08,1
3,Post01,1
3,Post02,3
3,Post03,1
3,Post04,2
3,Post05,1
3,Post06,1
3,Post07,3
3,Post08,3
3,Post09,3
3,Post10,3
3,Post11,2
3,Post12,2
3,Post13,3
3,Post14,3
3,Post15,3
3,Post16,1
3,Post17,3
3,Post18,2
3,Post19,2
3,Post20,3
3,Post21,3
3,Post22,2
3,Post23,2
3,Post24,3
3,Post25,2
3,Post26,3
3,Post27,1
3,Post28,2
3,Post29,3
3,Post30,2
3,Post31,2
3,Post32,1
3,Post33,3
3,Post34,1
3,Post35,2
4,Prac01,3
4,Prac02,3
4,Prac03,1
4,Prac04,2
4,Prac05,1
4,Prac06,2
4,Inst01,2
4,Inst02,3
4,Inst03,3
4,Inst04,2
4,Inst05,3
4,Inst06,1
4,Inst07,1
4,Inst08,2
4,Post01,1
4,Post02,3
4,Post03,1
4,Post04,2
4,Post05,2
4,Post06,2
4,Post07,3
4,Post08,3
4,Post09,3
4,Post10,3
4,Post11,2
4,Post12,2
4,Post13,2
4,Post14,2
4,Post15,1
4,Post16,1
4,Post17,3
4,Post18,1
4,Post19,1
4,Post20,3
4,Post21,3
4,Post22,2
4,Post23,2
4,Post24,3
4,Post25,2
4,Post26,3
4,Post27,1
4,Post28,1
4,Post29,2
4,Post30,1
4,Post31,2
4,Post32,1
4,Post33,1
4,Post34,1
4,Post35,1
5,Prac01,3
5,Prac02,3
5,Prac03,1
5,Prac04,2
5,Prac05,1
5,Prac06,1
5,Inst01,2
5,Inst02,2
5,Inst03,3
5,Inst04,2
5,Inst05,2
5,Inst06,2
5,Inst07,1
5,Inst08,2
5,Post01,1
5,Post02,3
5,Post03,1
5,Post04,2
5,Post05,3
5,Post06,2
5,Post07,2
5,Post08,2
5,Post09,3
5,Post10,3
5,Post11,2
5,Post12,2
5,Post13,1
5,Post14,1
5,Post15,1
5,Post16,2
5,Post17,2
5,Post18,3
5,Post19,2
5,Post20,1
5,Post21,1
5,Post22,3
5,Post23,3
5,Post24,3
5,Post25,1
5,Post26,3
5,Post27,1
5,Post28,1
5,Post29,2
5,Post30,3
5,Post31,2
5,Post32,1
5,Post33,2
5,Post34,1
5,Post35,2
